título,años,reparto,ranking,valoración,votaciones
Cadena perpetua,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",1,9.24,2673995
El padrino,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",2,9.16,1853314
El caballero oscuro,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",3,8.99,2646988
El padrino (parte II),1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",4,8.98,1268909
12 hombres sin piedad,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",5,8.95,789884
La lista de Schindler,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",6,8.94,1353643
El señor de los anillos: El retorno del rey,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",7,8.93,1842777
Pulp Fiction,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8,8.85,2049215
El señor de los anillos: La comunidad del anillo,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",9,8.81,1872031
"El bueno, el feo y el malo",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",10,8.79,761595
Forrest Gump,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",11,8.77,2073805
El club de la lucha,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",12,8.75,2119507
El señor de los anillos: Las dos torres,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",13,8.73,1663955
Origen,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",14,8.73,2346531
El imperio contraataca,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",15,8.7,1290829
Matrix,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",16,8.67,1909894
Uno de los nuestros,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",17,8.65,1159455
Alguien voló sobre el nido del cuco,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",18,8.64,1007532
Seven,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",19,8.6,1649030
Los siete samuráis,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",20,8.6,346670
¡Qué bello es vivir!,1946,"Frank Capra (dir.), James Stewart, Donna Reed",21,8.6,458387
El silencio de los corderos,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",22,8.59,1430707
Ciudad de Dios,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",23,8.58,757025
Salvar al soldado Ryan,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",24,8.58,1389650
La vida es bella,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",25,8.57,695010
Interstellar,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",26,8.57,1823545
La milla verde,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",27,8.56,1299735
